segment_id,county,region,product_program,market_lane,occupancy_type,wildfire_tier,policy_count,total_insured_value,annual_premium,technical_premium,attritional_loss_ratio,cat_loss_ratio,expected_loss_ratio,reinsurance_load,expense_ratio,commission_ratio,expected_combined_ratio,profit_margin,capacity_limit,capacity_used,mitigation_credit,agent_count,agent_readiness,rate_adequacy,renewal_retention,new_business_index,filing_status,guideline_state,recommended_action,owner,priority_score,decision_lane
CAT-049,Santa Barbara,Central coast canyon,Admitted HO-3 renewal,Admitted,Primary,High,430,383913030,2234588.83,2422937.56,0.213,0.2445,0.4576,0.1111,0.2557,0.115,0.9394,0.0606,2915379.61,0.7665,0.18,30,0.6845,1.0843,0.8001,129.1,Actuarial support needed,Needs agent practice update,Monitor with weekly guardrails,Underwriting,73.0,Advance
CAT-045,San Diego,Southern coastal canyon,Admitted HO-3 renewal,Admitted,Primary,Moderate,453,337166541,1856017.45,1976421.78,0.2685,0.232,0.5005,0.0917,0.2516,0.115,0.9587,0.0413,2716022.88,0.6834,0.1027,22,0.657,1.0649,0.8032,151.0,No filing required,Needs underwriting signoff,Monitor with weekly guardrails,Underwriting,70.8,Advance
CAT-038,Riverside,Inland wildland edge,E&S wildfire endorsement,E&S,Primary,Moderate,458,277791656,2073325.1,2133502.62,0.2247,0.2451,0.4697,0.0846,0.2885,0.13,0.9728,0.0272,3084303.46,0.6722,0.134,9,0.8019,1.029,0.7193,127.2,Compliance review,Needs wording review,Expand controlled growth,Product,69.5,Advance
CAT-061,Ventura,Southern coastal canyon,Admitted HO-3 renewal,Admitted,Primary,Moderate,135,121895685,676855.67,760446.63,0.1888,0.2817,0.4705,0.0814,0.2571,0.115,0.924,0.076,794548.93,0.8519,0.078,16,0.6509,1.1235,0.7075,113.7,Compliance review,Needs underwriting signoff,Monitor with weekly guardrails,Distribution,69.5,Advance
CAT-062,Ventura,Southern coastal canyon,E&S wildfire endorsement,E&S,Primary,Moderate,495,299805660,2320964.54,2373229.39,0.2121,0.2848,0.4969,0.0775,0.2719,0.13,0.9763,0.0237,3362358.23,0.6903,0.0295,11,0.8078,1.0225,0.8174,144.8,Compliance review,Needs wording review,Expand controlled growth,Underwriting,69.1,Advance
CAT-046,San Diego,Southern coastal canyon,E&S wildfire endorsement,E&S,Primary,Moderate,168,116581920,905471.25,974592.72,0.2537,0.2246,0.4783,0.0905,0.2677,0.13,0.9665,0.0335,1152148.01,0.7859,0.02,28,0.801,1.0763,0.7317,112.6,No filing required,Needs underwriting signoff,Monitor with weekly guardrails,Pricing,65.4,Advance
CAT-047,San Diego,Southern coastal canyon,Secondary home package,E&S,Secondary,Moderate,177,110150286,997307.77,1100958.73,0.1816,0.2869,0.4685,0.0935,0.301,0.13,0.993,0.007,1277623.32,0.7806,0.0495,23,0.769,1.1039,0.8193,119.1,No filing required,Needs agent practice update,Monitor with weekly guardrails,Underwriting,62.2,Advance
CAT-042,San Bernardino,Mountain metro edge,E&S wildfire endorsement,E&S,Primary,High,305,234682250,1953719.05,2128548.27,0.2515,0.2517,0.5032,0.1154,0.2666,0.13,1.0152,-0.0152,2615344.57,0.747,0.0606,28,0.8354,1.0895,0.7994,128.3,Filing memo drafted,Needs underwriting signoff,Monitor with weekly guardrails,Operations,62.1,Advance
CAT-037,Riverside,Inland wildland edge,Admitted HO-3 renewal,Admitted,Primary,Moderate,209,156347257,865664.21,885602.82,0.26,0.27,0.53,0.1018,0.2449,0.115,0.9917,0.0083,1239464.64,0.6984,0.0862,12,0.6022,1.023,0.7079,122.1,No filing required,Needs underwriting signoff,Monitor with weekly guardrails,Distribution,61.2,Watch
CAT-057,Sonoma,Wine country,Admitted HO-3 renewal,Admitted,Primary,High,320,240326720,1475404.56,1553528.82,0.2027,0.337,0.5397,0.1273,0.24,0.115,1.0221,-0.0221,2089007.29,0.7063,0.0289,19,0.9257,1.053,0.7781,106.3,Actuarial support needed,Needs agent practice update,Monitor with weekly guardrails,Underwriting,60.0,Watch
CAT-013,Los Angeles,Coastal metro edge,Admitted HO-3 renewal,Admitted,Primary,Moderate,322,259878794,1471901.12,1441298.97,0.292,0.2872,0.5792,0.0931,0.2348,0.115,1.0221,-0.0221,2117581.55,0.6951,0.0207,35,0.8088,0.9792,0.7396,125.4,Filing memo drafted,Ready for launch,File rate or tighten eligibility,Product,59.6,Watch
CAT-014,Los Angeles,Coastal metro edge,E&S wildfire endorsement,E&S,Primary,Moderate,152,124233856,933348.6,1033556.43,0.2648,0.2719,0.5367,0.0901,0.2634,0.13,1.0203,-0.0203,1034613.79,0.9021,0.1155,13,0.7243,1.1074,0.8205,135.0,No filing required,Needs wording review,Monitor with weekly guardrails,Product,58.6,Watch
CAT-051,Santa Barbara,Central coast canyon,Secondary home package,E&S,Secondary,High,181,105994143,1040798.9,1082693.22,0.2184,0.2784,0.4968,0.1201,0.2957,0.13,1.0426,-0.0426,1441727.69,0.7219,0.056,7,0.7963,1.0403,0.8646,127.4,Actuarial support needed,Ready for launch,Monitor with weekly guardrails,Operations,56.4,Watch
CAT-006,El Dorado,Sierra foothills,E&S wildfire endorsement,E&S,Primary,High,396,313800300,2566405.12,2875390.38,0.2429,0.2613,0.5042,0.1309,0.2792,0.13,1.0442,-0.0442,3717302.26,0.6904,0.1113,19,0.7166,1.1204,0.8366,105.3,No filing required,Needs agent practice update,Monitor with weekly guardrails,Underwriting,55.7,Watch
CAT-015,Los Angeles,Coastal metro edge,Secondary home package,E&S,Secondary,Moderate,155,90850150,806117.15,889382.61,0.2525,0.2773,0.5297,0.0868,0.3017,0.13,1.0483,-0.0483,1271746.38,0.6339,0.1074,23,0.6993,1.1033,0.7112,123.1,No filing required,Needs underwriting signoff,Monitor with weekly guardrails,Product,54.7,Watch
CAT-041,San Bernardino,Mountain metro edge,Admitted HO-3 renewal,Admitted,Primary,High,351,295245405,1795921.27,1887398.01,0.2462,0.3265,0.5727,0.1225,0.2335,0.115,1.0437,-0.0437,2178457.0,0.8244,0.0556,22,0.7294,1.0509,0.7241,102.2,Filing memo drafted,Needs wording review,Monitor with weekly guardrails,Pricing,53.3,Watch
CAT-016,Los Angeles,Coastal metro edge,Vacant home restricted form,E&S,Vacant,Moderate,83,51042593,616686.03,603442.2,0.2023,0.3287,0.531,0.0766,0.3082,0.13,1.0459,-0.0459,926692.94,0.6655,0.1028,8,0.7326,0.9785,0.6932,105.5,No filing required,Ready for launch,File rate or tighten eligibility,Distribution,53.1,Watch
CAT-034,Placer,Sierra foothills,E&S wildfire endorsement,E&S,Primary,High,338,326061502,2673319.36,2668126.71,0.2371,0.3156,0.5527,0.1108,0.2748,0.13,1.0682,-0.0682,3618294.52,0.7388,0.1042,6,0.7706,0.9981,0.844,122.5,Compliance review,Ready for launch,Tighten underwriting guideline,Product,53.0,Watch
